FileName, Keyword, Sentence
05_Tajikistan_1994_May_all.txt, Pamir, er guard  who was killed in Khorog  a city in the Pamir Mountains along the Tajik border with Afghanistan
05_Tajikistan_1994_May_all.txt, Pamir, er guard  who was killed in Khorog  a city in the Pamir Mountains along the Tajik border with Afghanistan
05_Tajikistan_1994_May_all.txt, Pamir, sturbing situation is in the Pyanj  Shuroabad and Pamir sections of the border. In May alone  border guar
05_Tajikistan_1994_May_all.txt, Pamir, er guard  who was killed in Khorog  a city in the Pamir Mountains    along the Tajik border with Afghanis
05_Tajikistan_1994_May_all.txt, Pamir, nday at the border guard in Khorog  a city in the Pamir Mountains located 250 kilometers (154 miles) sout
05_Tajikistan_1994_May_all.txt, Pamir,  The Aga Khan Foundation has been involved in the Pamir mountain region of Tajikistan since 1992. With ai
05_Tajikistan_1994_May_all.txt, Pamir, f the border.    Noting that the situation in the Pamir border region was " particularly alarming"   Patr
05_Tajikistan_1994_May_all.txt, Pamir,  by shelling at hard-to-reach areas in the rugged Pamir Mountain terrain  officials said. Border forces r
05_Tajikistan_1994_May_all.txt, Pamir, ted in Tajikistan's Gorno-Badakshan region in the Pamir mountains where powerful groups of tribal chiefta
05_Tajikistan_1994_May_all.txt, Pamir, ao.    Surrounded by the Tian Shan Mountains  the Pamir range and the vast Taklamakan Desert  Kashgar has
05_Tajikistan_1994_May_all.txt, Pamir, pro-govermnent military forces in the war against Pamir (Badakhshan) and Garm sub-ethnic groups  included
05_Tajikistan_1994_May_all.txt, Pamir, rters of the opposition  and people from Garm and Pamir (Badakhshon)  suffered severe employment discrimi
05_Tajikistan_1994_May_all.txt, Pamir, vided for food  fuel  and medical supplies in the Pamir region.    In response to 1993 spring flooding  t
05_Tajikistan_1994_May_all.txt, Pamir, vided for food  fuel  and medical supplies in the Pamir region.    In response to 1993 spring flooding  t
05_Tajikistan_1994_May_all.txt, Pamir,  of the Gorno-Badakhshan autonomous region in the Pamir area  of an aircraft from Uzbekistan. According t
